document_id,set,kind,story_url,story_file_size,wiki_url,wiki_title,story_word_count,story_start,story_end
0029bdbe75423337b551e42bb31f9a102785376f,train,gutenberg,http://www.gutenberg.org/ebooks/21572.txt.utf-8,814507,http://en.wikipedia.org/wiki/Percival_Keene,Percival Keene,173334,Produced by Nick,new eBooks .
00936497f5884881f1df23f4834f6739552cee8b,train,gutenberg,http://www.gutenberg.org/ebooks/3526.txt.utf-8,566874,http://en.wikipedia.org/wiki/Five_Weeks_in_a_Balloon,Five Weeks in a Balloon,112898,Produced by Judy,new eBooks .
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,gutenberg,http://www.gutenberg.org/ebooks/42188.txt.utf-8,90192,http://en.wikipedia.org/wiki/Shadows_in_the_Moonlight_(story),Shadows in the Moonlight (story),17670,Produced by Greg,new eBooks .
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,gutenberg,http://www.gutenberg.org/ebooks/3771.txt.utf-8,372868,http://en.wikipedia.org/wiki/Cynthia's_Revels,Cynthia's Revels,74928,Produced by Sue,new eBooks .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,gutenberg,http://www.gutenberg.org/ebooks/1329.txt.utf-8,560685,http://en.wikipedia.org/wiki/A_Voyage_to_Arcturus,A Voyage to Arcturus,113790,Produced by An,new eBooks .
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,gutenberg,http://www.gutenberg.org/ebooks/26348.txt.utf-8,206867,http://en.wikipedia.org/wiki/Lisbeth_Longfrock,Lisbeth Longfrock,41580,Produced by Chris,new eBooks .
01aa10d75658840a478ede17631dba875651c370,train,gutenberg,http://www.gutenberg.org/files/19286/19286-0.txt,66344,http://en.wikipedia.org/wiki/The_Promise_of_World_Peace,The Promise of World Peace,11296,The Promise of,eBooks . ***FINIS***
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,gutenberg,http://www.gutenberg.org/ebooks/3268.txt.utf-8,1730392,http://en.wikipedia.org/wiki/The_Mysteries_of_Udolpho,The Mysteries of Udolpho,352033,Produced by Karalee,new eBooks .
02476285f0673b06c7754deed4517e54c50c42b5,train,gutenberg,http://www.gutenberg.org/ebooks/15575.txt.utf-8,36044,http://en.wikipedia.org/wiki/The_Tale_of_Samuel_Whiskers_or_The_Roly-Poly_Pudding,The Tale of Samuel Whiskers or The Roly-Poly Pudding,6522,E-text prepared by,new eBooks .
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,gutenberg,http://www.gutenberg.org/ebooks/2663.txt.utf-8,177122,http://en.wikipedia.org/wiki/Minna_von_Barnhelm,Minna von Barnhelm,37932,Produced by Dagny,new eBooks .
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,gutenberg,http://www.gutenberg.org/ebooks/37189.txt.utf-8,184426,http://en.wikipedia.org/wiki/The_Return_of_the_Soldier,The Return of the Soldier,37107,Produced by Chuck,new eBooks .
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,gutenberg,http://www.gutenberg.org/ebooks/31619.txt.utf-8,177521,http://en.wikipedia.org/wiki/The_Planet_Savers,The Planet Savers,35789,Produced by Greg,new eBooks .
03690ff2154ebecb454ea267cec529358ab6923b,test,gutenberg,http://www.gutenberg.org/ebooks/5247.txt.utf-8,1289852,http://en.wikipedia.org/wiki/The_Old_Wives'_Tale,The Old Wives' Tale,257785,Produced by Charles,new eBooks .
03a048c35b81d8a422e0efd0d5de016b63659869,train,gutenberg,http://www.gutenberg.org/ebooks/4017.txt.utf-8,404208,http://en.wikipedia.org/wiki/The_Hollow_Needle,The Hollow Needle,82092,Produced by Charles,new eBooks .
